time,total,free,cache,buffer,used
2019-07-25 05:18:00.924000+00:00,9428135936,7013318656,1744982016,219770880,4.773630620677551
2019-07-25 05:18:05.924000+00:00,9428135936,7005642752,1745072128,219770880,4.854089706667547
2019-07-25 05:18:10.924000+00:00,9428135936,6999658496,1745104896,219770880,4.9172144647363725
2019-07-25 05:18:15.924000+00:00,9428135936,6946971648,1772515328,219774976,5.1852666032667605
2019-07-25 05:18:20.924000+00:00,9428135936,6461698048,2192707584,225083392,5.819251183100464
2019-07-25 05:18:25.924000+00:00,9428135936,6402498560,2257719296,225673216,5.751347537634825
2019-07-25 05:18:30.924000+00:00,9428135936,6401667072,2257756160,225673216,5.75977575722557
2019-07-25 05:18:35.924000+00:00,9428135936,6394548224,2257793024,225673216,5.83489117821731
2019-07-25 05:18:40.924000+00:00,9428135936,6394040320,2257829888,225673216,5.839887287768525
2019-07-25 05:18:45.924000+00:00,9428135936,6390358016,2257866752,225673216,5.878552831251838
2019-07-25 05:18:50.924000+00:00,9428135936,6387343360,2257899520,225673216,5.910180376932571
2019-07-25 05:18:55.924000+00:00,9428135936,6387613696,2257936384,225677312,5.9068786001856814
2019-07-25 05:19:00.924000+00:00,9428135936,6387359744,2257969152,225677312,5.909224599453208
2019-07-25 05:19:05.924000+00:00,9428135936,6385168384,2258010112,225677312,5.9320329256652755
2019-07-25 05:19:10.924000+00:00,9428135936,6384881664,2258042880,225677312,5.934726480379844
2019-07-25 05:19:15.924000+00:00,9428135936,6384783360,2258079744,225677312,5.935378146843045
2019-07-25 05:19:20.924000+00:00,9428135936,6384369664,2258112512,225677312,5.939418478914897
2019-07-25 05:19:25.924000+00:00,9428135936,6380179456,2258153472,225677312,5.983427687396467
2019-07-25 05:19:30.924000+00:00,9428135936,6380298240,2258186240,225677312,5.981820243453901
2019-07-25 05:19:35.924000+00:00,9428135936,6380298240,2258223104,225677312,5.981429243575981
2019-07-25 05:19:40.924000+00:00,9428135936,6380302336,2258255872,225677312,5.981038243698059
2019-07-25 05:19:45.924000+00:00,9428135936,6380208128,2258292736,225677312,5.981646465730382
2019-07-25 05:19:50.924000+00:00,9428135936,6379253760,2258329600,225677312,5.99137801824753
2019-07-25 05:19:55.924000+00:00,9428135936,6379016192,2258366464,225677312,5.9935067953606564
2019-07-25 05:20:00.924000+00:00,9428135936,6378889216,2258399232,225677312,5.994506017270899
2019-07-25 05:20:05.924000+00:00,9428135936,6378762240,2258436096,225677312,5.995461794750262
2019-07-25 05:20:10.924000+00:00,9428135936,6378602496,2258472960,225677312,5.996765127676666
2019-07-25 05:20:15.924000+00:00,9428135936,6378094592,2258509824,225677312,6.00176123722788
2019-07-25 05:20:20.924000+00:00,9428135936,6378061824,2258542592,225677312,6.00176123722788
2019-07-25 05:20:25.924000+00:00,9428135936,6373330944,2258579456,225677312,6.051548555016507
2019-07-25 05:20:30.924000+00:00,9428135936,6371553280,2258612224,225677312,6.070055882571441
2019-07-25 05:20:35.924000+00:00,9428135936,6371536896,2258653184,225681408,6.06975177155528
2019-07-25 05:20:40.924000+00:00,9428135936,6366748672,2258685952,225681408,6.1201907558071085
2019-07-25 05:20:45.924000+00:00,9428135936,6366748672,2258722816,225681408,6.119799755929187
2019-07-25 05:20:50.924000+00:00,9428135936,6366453760,2258755584,225681408,6.122580199505515
2019-07-25 05:20:55.924000+00:00,9428135936,6366580736,2258796544,225681408,6.1207989778394305
2019-07-25 05:21:00.924000+00:00,9428135936,6366261248,2258829312,225681408,6.123840088001039
2019-07-25 05:21:05.924000+00:00,9428135936,6366388224,2258866176,225681408,6.122102310765834
2019-07-25 05:21:10.924000+00:00,9428135936,6366228480,2258898944,225681408,6.1234490881231185
2019-07-25 05:21:15.924000+00:00,9428135936,6366007296,2258935808,225681408,6.125404087512724
2019-07-25 05:21:20.925000+00:00,9428135936,6365847552,2258972672,225681408,6.126707420439128
2019-07-25 05:21:25.924000+00:00,9428135936,6361878528,2259009536,225681408,6.16841407408405
2019-07-25 05:21:30.924000+00:00,9428135936,6361718784,2259042304,225681408,6.169760851441334
2019-07-25 05:21:35.924000+00:00,9428135936,6361845760,2259079168,225681408,6.168023074206129
2019-07-25 05:21:40.924000+00:00,9428135936,6358351872,2259116032,225681408,6.204690173868957
2019-07-25 05:21:45.924000+00:00,9428135936,6357626880,2259152896,225681408,6.2119888382568185
2019-07-25 05:21:50.924000+00:00,9428135936,6357565440,2259185664,225681408,6.21229294927298
2019-07-25 05:21:55.924000+00:00,9428135936,6357692416,2259222528,225681408,6.210555172037774
2019-07-25 05:22:00.924000+00:00,9428135936,6357692416,2259255296,225681408,6.210207616590733
2019-07-25 05:22:05.924000+00:00,9428135936,6357565440,2259296256,225681408,6.211119949639215
2019-07-25 05:22:10.924000+00:00,9428135936,6357692416,2259329024,225681408,6.20942561683489
2019-07-25 05:22:15.924000+00:00,9428135936,6357278720,2259365888,225681408,6.213422504475862
2019-07-25 05:22:20.924000+00:00,9428135936,6357245952,2259398656,225681408,6.213422504475862
2019-07-25 05:22:25.924000+00:00,9428135936,6353055744,2259439616,225681408,6.257431712957431
2019-07-25 05:22:30.924000+00:00,9428135936,6353055744,2259472384,225681408,6.257084157510391
2019-07-25 05:22:35.924000+00:00,9428135936,6353149952,2259509248,225681408,6.255693935722227
2019-07-25 05:22:40.924000+00:00,9428135936,6352863232,2259542016,225681408,6.258387490436795
2019-07-25 05:22:45.924000+00:00,9428135936,6352957440,2259578880,225681408,6.25699726864863
