time,total,free,cache,buffer,used
2019-07-19 12:25:28.062000+00:00,9428135936,7517036544,1432862720,66699264,4.364992303819069
2019-07-19 12:25:33.061000+00:00,9428135936,7512268800,1432895488,66699264,4.415214065916497
2019-07-19 12:25:38.061000+00:00,9428135936,7511728128,1432936448,66703360,4.420470842052993
2019-07-19 12:25:43.062000+00:00,9428135936,7510454272,1432965120,66711552,4.433591060178791
2019-07-19 12:25:48.062000+00:00,9428135936,7505817600,1433001984,66715648,4.482335711626295
2019-07-19 12:25:53.062000+00:00,9428135936,7504035840,1433030656,66723840,4.500843039181229
2019-07-19 12:25:58.062000+00:00,9428135936,7501430784,1433067520,66727936,4.528039252912189
2019-07-19 12:26:03.062000+00:00,9428135936,7501144064,1433096192,66727936,4.5307762520576365
2019-07-19 12:26:08.062000+00:00,9428135936,7500664832,1433128960,66732032,4.53546825059269
2019-07-19 12:26:13.062000+00:00,9428135936,7500701696,1433161728,66732032,4.534729695267728
2019-07-19 12:26:18.062000+00:00,9428135936,7496765440,1433194496,66736128,4.57608879346561
2019-07-19 12:26:23.062000+00:00,9428135936,7496380416,1433227264,66744320,4.579738125659541
2019-07-19 12:26:28.061000+00:00,9428135936,7496372224,1433260032,66748416,4.57943401464338
2019-07-19 12:26:33.062000+00:00,9428135936,7496179712,1433288704,66752512,4.581128347447705
2019-07-19 12:26:38.062000+00:00,9428135936,7496146944,1433325568,66756608,4.581041458585944
2019-07-19 12:26:43.062000+00:00,9428135936,7444807680,1460727808,66777088,4.83471349049501
2019-07-19 12:26:48.062000+00:00,9428135936,7071150080,1808785408,67514368,5.098421185937385
2019-07-19 12:26:53.062000+00:00,9428135936,6905274368,1945882624,68288512,5.3954507598648185
2019-07-19 12:26:58.062000+00:00,9428135936,6905229312,1945960448,68296704,5.395016315556017
2019-07-19 12:27:03.062000+00:00,9428135936,6905462784,1945989120,68296704,5.392235871979689
2019-07-19 12:27:08.062000+00:00,9428135936,6904385536,1946025984,68300800,5.403227312992361
2019-07-19 12:27:13.062000+00:00,9428135936,6904131584,1946058752,68304896,5.405529867829008
2019-07-19 12:27:18.061000+00:00,9428135936,6901624832,1946091520,68308992,5.431726859649725
2019-07-19 12:27:23.062000+00:00,9428135936,6901059584,1946124288,68308992,5.437374635664142
2019-07-19 12:27:28.061000+00:00,9428135936,6900170752,1946161152,68321280,5.446280743994568
2019-07-19 12:27:33.062000+00:00,9428135936,6900207616,1946189824,68329472,5.4454987442387255
2019-07-19 12:27:38.062000+00:00,9428135936,6900174848,1946226688,68333568,5.445411855376965
2019-07-19 12:27:43.062000+00:00,9428135936,6900174848,1946259456,68333568,5.445064299929924
2019-07-19 12:27:48.061000+00:00,9428135936,6898999296,1946292224,68341760,5.45709840728372
2019-07-19 12:27:53.062000+00:00,9428135936,6898950144,1946324992,68345856,5.45722874057636
2019-07-19 12:27:58.061000+00:00,9428135936,6898917376,1946361856,68345856,5.45718529614548
2019-07-19 12:28:03.062000+00:00,9428135936,6898917376,1946390528,68349952,5.456837740698439
2019-07-19 12:28:08.061000+00:00,9428135936,6898249728,1946427392,68354048,5.463484738623099
2019-07-19 12:28:13.062000+00:00,9428135936,6898319360,1946460160,68354048,5.462398627851095
2019-07-19 12:28:18.062000+00:00,9428135936,6896857088,1946492928,68354048,5.477560734228259
2019-07-19 12:28:23.062000+00:00,9428135936,6896824320,1946525696,68358144,5.47751728979738
2019-07-19 12:28:28.061000+00:00,9428135936,6896664576,1946558464,68366336,5.478777178292903
2019-07-19 12:28:33.062000+00:00,9428135936,6896664576,1946591232,68370432,5.478386178414982
2019-07-19 12:28:38.061000+00:00,9428135936,6896250880,1946628096,68378624,5.482296177194193
2019-07-19 12:28:43.061000+00:00,9428135936,6896123904,1946656768,68378624,5.483338843535317
2019-07-19 12:28:48.061000+00:00,9428135936,6895931392,1946693632,68386816,5.484902843047001
2019-07-19 12:28:53.062000+00:00,9428135936,6895423488,1946726400,68390912,5.489898952598216
2019-07-19 12:28:58.062000+00:00,9428135936,6895587328,1946759168,68395008,5.48777017548509
2019-07-19 12:29:03.062000+00:00,9428135936,6895554560,1946791936,68399104,5.4877267310542095
2019-07-19 12:29:08.062000+00:00,9428135936,6894157824,1946828800,68407296,5.502063393244652
2019-07-19 12:29:13.062000+00:00,9428135936,6894092288,1946857472,68411392,5.502410948691693
2019-07-19 12:29:18.061000+00:00,9428135936,6893711360,1946894336,68411392,5.506060280885623
2019-07-19 12:29:23.061000+00:00,9428135936,6893678592,1946927104,68415488,5.5060168364547435
