time,total,free,cache,buffer,used
2019-08-06 02:30:12.732000+00:00,9428135936,7967145984,1039327232,33812480,4.113753160039291
2019-08-06 02:30:17.732000+00:00,9428135936,7960711168,1039429632,33816576,4.180874805749089
2019-08-06 02:30:22.732000+00:00,9428135936,7957192704,1039474688,33832960,4.217541905411916
2019-08-06 02:30:27.732000+00:00,9428135936,7956049920,1039523840,33845248,4.22901123516427
2019-08-06 02:30:32.732000+00:00,9428135936,7953129472,1039568896,33857536,4.2593788923494795
2019-08-06 02:30:37.732000+00:00,9428135936,7952138240,1039605760,33865728,4.269414555882789
2019-08-06 02:30:42.732000+00:00,9428135936,7949787136,1039638528,33865728,4.29400410376094
2019-08-06 02:30:47.732000+00:00,9428135936,7949205504,1039679488,33873920,4.299651879775357
2019-08-06 02:30:52.732000+00:00,9428135936,7947157504,1039712256,33882112,4.32093965090662
2019-08-06 02:30:57.732000+00:00,9428135936,7945474048,1039753216,33890304,4.338273978827791
2019-08-06 02:31:02.732000+00:00,9428135936,7944826880,1039785984,33890304,4.3447906434598105
2019-08-06 02:31:07.732000+00:00,9428135936,7945015296,1039822848,33898496,4.342314310899643
2019-08-06 02:31:12.732000+00:00,9428135936,7944888320,1039859712,33906688,4.343183199517245
2019-08-06 02:31:17.732000+00:00,9428135936,7891111936,1068150784,33935360,4.6131903374372385
2019-08-06 02:31:22.732000+00:00,9428135936,7520870400,1416937472,34066432,4.839362044599184
2019-08-06 02:31:27.732000+00:00,9428135936,7353950208,1554264064,34410496,5.149598725514175
2019-08-06 02:31:32.732000+00:00,9428135936,7347421184,1554341888,34418688,5.217936815288617
2019-08-06 02:31:37.732000+00:00,9428135936,7343190016,1554382848,34418688,5.262380468078987
2019-08-06 02:31:42.732000+00:00,9428135936,7338180608,1554415616,34426880,5.3150785627365815
2019-08-06 02:31:47.733000+00:00,9428135936,7330582528,1554456576,34435072,5.395146648848657
2019-08-06 02:31:52.737000+00:00,9428135936,7326171136,1554493440,34443264,5.441458412166873
2019-08-06 02:31:57.780000+00:00,9428135936,7319113728,1554542592,34463744,5.515574611248372
2019-08-06 02:32:02.732000+00:00,9428135936,7314575360,1554616320,34496512,5.56258148546067
2019-08-06 02:32:07.732000+00:00,9428135936,7308734464,1554661376,34504704,5.62396846629429
2019-08-06 02:32:12.732000+00:00,9428135936,7303655424,1554694144,34512896,5.677405116276847
2019-08-06 02:32:17.732000+00:00,9428135936,7297433600,1554735104,34521088,5.742875873613199
2019-08-06 02:32:22.732000+00:00,9428135936,7292354560,1554767872,34529280,5.796312523595756
2019-08-06 02:32:27.732000+00:00,9428135936,7285624832,1554808832,34529280,5.867257279223005
2019-08-06 02:32:32.732000+00:00,9428135936,7279624192,1554845696,34537472,5.93042548172271
2019-08-06 02:32:37.732000+00:00,9428135936,7274164224,1554882560,34545664,5.9878590193462395
2019-08-06 02:32:42.732000+00:00,9428135936,7268831232,1554919424,34553856,6.043945779612484
2019-08-06 02:32:47.732000+00:00,9428135936,7263719424,1554964480,34562048,6.097599651749442
2019-08-06 02:32:52.732000+00:00,9428135936,7257464832,1554997248,34570240,6.1635048533945955
2019-08-06 02:32:57.732000+00:00,9428135936,7251877888,1555038208,34578432,6.222241723944529
2019-08-06 02:33:02.732000+00:00,9428135936,7246213120,1555070976,34586624,6.2818909275429435
2019-08-06 02:33:07.732000+00:00,9428135936,7240482816,1555111936,34594816,6.34214835317368
2019-08-06 02:33:12.732000+00:00,9428135936,7234641920,1555148800,34603008,6.403622222869061
2019-08-06 02:33:17.732000+00:00,9428135936,7227785216,1555185664,34611200,6.475870311422714
2019-08-06 02:33:22.732000+00:00,9428135936,7221022720,1555222528,34619392,6.547119178066123
2019-08-06 02:33:27.732000+00:00,9428135936,7214673920,1555267584,34627584,6.61389326832888
2019-08-06 02:33:32.732000+00:00,9428135936,7210483712,1555300352,34635776,6.657902476810448
2019-08-06 02:33:37.732000+00:00,9428135936,7204134912,1555341312,34643968,6.724720011504086
2019-08-06 02:33:42.732000+00:00,9428135936,7199657984,1555374080,34652160,6.771770330147264
2019-08-06 02:33:47.732000+00:00,9428135936,7193817088,1555415040,34652160,6.833287644273524
2019-08-06 02:33:52.732000+00:00,9428135936,7188357120,1555451904,34660352,6.890721181897053
2019-08-06 02:33:57.732000+00:00,9428135936,7179976704,1555492864,34668544,6.979087154307233
2019-08-06 02:34:02.732000+00:00,9428135936,7174770688,1555525632,34676736,7.033870581647074
2019-08-06 02:34:07.732000+00:00,9428135936,7169183744,1555570688,34684928,7.092564007766127
2019-08-06 02:34:12.732000+00:00,9428135936,7164104704,1555603456,34693120,7.146000657748683
2019-08-06 02:34:17.732000+00:00,9428135936,7157723136,1555644416,34701312,7.213165747889361
2019-08-06 02:34:22.732000+00:00,9428135936,7152205824,1555681280,34709504,7.271207507545212
2019-08-06 02:34:27.732000+00:00,9428135936,7144714240,1555718144,34717696,7.350189482885283
2019-08-06 02:34:32.732000+00:00,9428135936,7138459648,1555755008,34725888,7.416051240099557
2019-08-06 02:34:37.732000+00:00,9428135936,7133413376,1555795968,34734080,7.469053445773313
