time,total,free,cache,buffer,used
2019-07-20 03:17:43.475000+00:00,9428135936,6631952384,2114076672,215175168,4.952534787041916
2019-07-20 03:17:48.476000+00:00,9428135936,6628208640,2114232320,215175168,4.990592108492908
2019-07-20 03:17:53.475000+00:00,9428135936,6624296960,2114269184,215175168,5.031690540105509
2019-07-20 03:17:58.475000+00:00,9428135936,6624112640,2114318336,215179264,5.0330807618936735
2019-07-20 03:18:03.475000+00:00,9428135936,6618001408,2114355200,215187456,5.097421964027142
2019-07-20 03:18:08.475000+00:00,9428135936,6617858048,2114396160,215187456,5.098508074799145
2019-07-20 03:18:13.475000+00:00,9428135936,6613696512,2114424832,215187456,5.142343505557195
2019-07-20 03:18:18.475000+00:00,9428135936,6611820544,2114461696,215187456,5.161850055022372
2019-07-20 03:18:23.475000+00:00,9428135936,6610104320,2114494464,215187456,5.179705716114104
2019-07-20 03:18:28.475000+00:00,9428135936,6609690624,2114531328,215191552,5.183659159324196
2019-07-20 03:18:33.475000+00:00,9428135936,6609182720,2114564096,215191552,5.18869871330629
2019-07-20 03:18:38.475000+00:00,9428135936,6608916480,2114596864,215191552,5.191175045866458
2019-07-20 03:18:43.475000+00:00,9428135936,6606729216,2114629632,215195648,5.213983372078525
2019-07-20 03:18:48.475000+00:00,9428135936,6606770176,2114666496,215195648,5.213157927891802
2019-07-20 03:18:53.475000+00:00,9428135936,6606512128,2114699264,215195648,5.215547371590209
2019-07-20 03:18:58.475000+00:00,9428135936,6606352384,2114736128,215195648,5.216850704516613
2019-07-20 03:19:03.475000+00:00,9428135936,6562877440,2142154752,215195648,5.3871528735667145
2019-07-20 03:19:08.475000+00:00,9428135936,6366191616,2312597504,215207936,5.665371008923051
2019-07-20 03:19:13.475000+00:00,9428135936,6156681216,2483605504,215224320,6.073574881472731
2019-07-20 03:19:18.475000+00:00,9428135936,6146543616,2483773440,215224320,6.179318626234962
2019-07-20 03:19:23.475000+00:00,9428135936,6149201920,2483810304,215224320,6.150732190715838
2019-07-20 03:19:28.475000+00:00,9428135936,6137151488,2483847168,215224320,6.278154706487253
2019-07-20 03:19:33.475000+00:00,9428135936,6123532288,2483884032,215224320,6.422216439285757
2019-07-20 03:19:38.475000+00:00,9428135936,6105522176,2483924992,215224320,6.612807157556877
2019-07-20 03:19:43.475000+00:00,9428135936,6139891712,2483957760,215224320,6.247917382594684
2019-07-20 03:19:48.475000+00:00,9428135936,6124990464,2483998720,215224320,6.405533777827788
2019-07-20 03:19:53.475000+00:00,9428135936,6112538624,2484031488,215224320,6.537257292256335
2019-07-20 03:19:58.475000+00:00,9428135936,6095912960,2484072448,215224320,6.713163792889971
2019-07-20 03:20:03.475000+00:00,9428135936,6134321152,2484109312,215224320,6.305394364649093
